CATÁLOGO DE CONCEPTOS · OBRA CIVIL
City Express Altamira · Precios a 2022-01 (MXN sin IVA)

OC-001 | Trazo y nivelación del terreno con equipo topográfico | m2 | 0.5558 por m² construido | P.U. $19.23
OC-002 | Excavación a máquina en cepas, material tipo II | m3 | 0.4556 por m² construido | P.U. $152.59
OC-003 | Relleno compactado al 95% Proctor con material de banco | m3 | 0.1601 por m² construido | P.U. $419.62
OC-004 | Plantilla de concreto f'c=100 kg/cm² de 5 cm | m2 | 0.1930 por m² construido | P.U. $189.12
OC-005 | Concreto premezclado f'c=250 kg/cm² en cimentación | m3 | 0.0853 por m² construido | P.U. $2,965.50
OC-006 | Acero de refuerzo fy=4200 kg/cm² en cimentación | ton | 0.0064 por m² construido | P.U. $29,766.84
OC-007 | Cimbra común en cimentación | m2 | 0.2078 por m² construido | P.U. $308.57
OC-008 | Concreto premezclado f'c=300 kg/cm² en columnas | m3 | 0.0352 por m² construido | P.U. $3,644.89
OC-009 | Concreto premezclado f'c=300 kg/cm² en trabes y losas | m3 | 0.1611 por m² construido | P.U. $3,249.30
OC-010 | Acero de refuerzo fy=4200 kg/cm² en estructura | ton | 0.0212 por m² construido | P.U. $28,352.39
OC-011 | Cimbra aparente en columnas | m2 | 0.2689 por m² construido | P.U. $431.60
OC-012 | Cimbra en losas y trabes | m2 | 1.0648 por m² construido | P.U. $383.77
OC-013 | Losa aligerada con casetón de poliestireno de 25 cm | m2 | 0.8331 por m² construido | P.U. $620.37
OC-014 | Muro de block hueco de concreto de 15 cm | m2 | 1.1238 por m² construido | P.U. $411.06
OC-015 | Muro divisorio de tablaroca con aislamiento acústico | m2 | 0.8607 por m² construido | P.U. $549.18
OC-016 | Castillos y dalas de concreto armado | m | 0.8991 por m² construido | P.U. $248.37
OC-017 | Aplanado de mortero cemento-arena en muros | m2 | 1.5732 por m² construido | P.U. $171.74
OC-018 | Firme de concreto f'c=150 kg/cm² de 10 cm | m2 | 0.2468 por m² construido | P.U. $295.23
