CATÁLOGO DE CONCEPTOS · OBRA CIVIL
City Express Cancún Aeropuerto · Precios a 2018-05 (MXN sin IVA)

OC-001 | Trazo y nivelación del terreno con equipo topográfico | m2 | 0.5524 por m² construido | P.U. $14.86
OC-002 | Excavación a máquina en cepas, material tipo II | m3 | 0.3910 por m² construido | P.U. $119.53
OC-003 | Relleno compactado al 95% Proctor con material de banco | m3 | 0.1766 por m² construido | P.U. $327.65
OC-004 | Plantilla de concreto f'c=100 kg/cm² de 5 cm | m2 | 0.1993 por m² construido | P.U. $151.88
OC-005 | Concreto premezclado f'c=250 kg/cm² en cimentación | m3 | 0.0755 por m² construido | P.U. $2,549.26
OC-006 | Acero de refuerzo fy=4200 kg/cm² en cimentación | ton | 0.0073 por m² construido | P.U. $23,331.06
OC-007 | Cimbra común en cimentación | m2 | 0.2375 por m² construido | P.U. $245.55
OC-008 | Concreto premezclado f'c=300 kg/cm² en columnas | m3 | 0.0337 por m² construido | P.U. $2,598.72
OC-009 | Concreto premezclado f'c=300 kg/cm² en trabes y losas | m3 | 0.1569 por m² construido | P.U. $2,700.05
OC-010 | Acero de refuerzo fy=4200 kg/cm² en estructura | ton | 0.0185 por m² construido | P.U. $23,048.22
OC-011 | Cimbra aparente en columnas | m2 | 0.2910 por m² construido | P.U. $350.99
OC-012 | Cimbra en losas y trabes | m2 | 1.0532 por m² construido | P.U. $309.96
OC-013 | Losa aligerada con casetón de poliestireno de 25 cm | m2 | 0.8136 por m² construido | P.U. $469.35
OC-014 | Muro de block hueco de concreto de 15 cm | m2 | 1.2332 por m² construido | P.U. $324.45
OC-015 | Muro divisorio de tablaroca con aislamiento acústico | m2 | 0.8678 por m² construido | P.U. $448.28
OC-016 | Castillos y dalas de concreto armado | m | 0.9095 por m² construido | P.U. $171.35
OC-017 | Aplanado de mortero cemento-arena en muros | m2 | 1.5230 por m² construido | P.U. $143.41
OC-018 | Firme de concreto f'c=150 kg/cm² de 10 cm | m2 | 0.2436 por m² construido | P.U. $248.07
OC-019 | Impermeabilización de azotea con sistema prefabricado APP | m2 | 0.2035 por m² construido | P.U. $321.31
OC-020 | Relleno y entortado de azotea con pendiente | m2 | 0.2017 por m² construido | P.U. $217.05
OC-021 | Pretil de concreto armado en azotea | m | 0.8448 por llave | P.U. $691.44
OC-022 | Escalera de concreto armado, tramo entre niveles | pza | 2.0309 por nivel | P.U. $32,881.59
OC-023 | Fosa de elevador de concreto armado | pza | 2.0000 por hotel | P.U. $49,133.52
OC-024 | Cisterna de concreto armado impermeabilizada | m3 | 0.4885 por llave | P.U. $3,986.72
OC-025 | Registro sanitario de tabique de 60×40 cm | pza | 0.0035 por m² construido | P.U. $2,828.72
OC-026 | Banqueta perimetral de concreto estampado | m2 | 0.0674 por m² construido | P.U. $365.67
OC-027 | Pavimento de concreto hidráulico en estacionamiento | m2 | 14.5820 por llave | P.U. $535.08
OC-028 | Guarnición de concreto tipo pecho de paloma | m | 1.3467 por llave | P.U. $271.97
OC-029 | Muro de contención de concreto armado | m3 | 0.0097 por m² construido | P.U. $3,594.16
OC-030 | Junta constructiva con sellador de poliuretano | m | 0.0291 por m² construido | P.U. $179.45
OC-031 | Limpieza gruesa y retiro de escombro | m2 | 0.9914 por m² construido | P.U. $18.57
OC-032 | Acarreo de material producto de excavación fuera de obra | m3 | 0.3186 por m² construido | P.U. $131.12
OC-033 | Pila de cimentación colada en sitio de 80 cm | m | 0.0854 por m² construido | P.U. $4,461.44
OC-034 | Mejoramiento de suelo con tepetate compactado | m3 | 0.2506 por m² construido | P.U. $400.09
OC-035 | Losa de cimentación en cuarto de máquinas | m2 | 0.3108 por llave | P.U. $1,141.60

CATÁLOGO DE CONCEPTOS · ELÉCTRICO
City Express Cancún Aeropuerto · Precios a 2018-05 (MXN sin IVA)

IE-001 | Acometida en media tensión 23 kV | lote | 1.0000 por hotel | P.U. $387,070.61
IE-002 | Subestación compacta tipo pedestal de 500 kVA | pza | 1.0000 por hotel | P.U. $678,116.46
IE-003 | Planta de emergencia diésel de 300 kW con tanque de día | pza | 1.0000 por hotel | P.U. $875,437.60
IE-004 | Tablero general de distribución en baja tensión | pza | 1.0000 por hotel | P.U. $205,565.42
IE-005 | Tablero de fuerza y alumbrado por nivel | pza | 1.0301 por nivel | P.U. $31,787.22
IE-006 | Centro de carga de habitación de 12 circuitos | pza | 1.0404 por llave | P.U. $2,599.58
IE-007 | Alimentador principal en cable THHW-LS 350 kcmil | m | 180.0000 por hotel | P.U. $1,007.01
IE-008 | Alimentadores a tableros de nivel en cable THHW-LS | m | 59.6518 por nivel | P.U. $342.58
IE-009 | Tubería conduit galvanizada pared gruesa de 3/4" | m | 0.8741 por m² construido | P.U. $108.87
IE-010 | Tubería conduit PVC pesado de 1" | m | 0.3947 por m² construido | P.U. $66.67
IE-011 | Cable THW-LS calibre 12 AWG | m | 3.8062 por m² construido | P.U. $13.71
IE-012 | Cable THW-LS calibre 10 AWG | m | 1.2539 por m² construido | P.U. $18.84
IE-013 | Salida de alumbrado en losa | sal | 0.1425 por m² construido | P.U. $487.56
IE-014 | Salida de contacto dúplex polarizado | sal | 0.1544 por m² construido | P.U. $442.39
IE-015 | Salida especial para equipo de aire acondicionado de habitación | sal | 1.0458 por llave | P.U. $1,247.02
IE-016 | Luminario LED empotrable de 12 W en habitación | pza | 5.9546 por llave | P.U. $722.35
IE-017 | Luminario LED lineal en pasillos | pza | 0.0347 por m² construido | P.U. $1,437.00
IE-018 | Luminario de emergencia con batería de respaldo | pza | 0.0117 por m² construido | P.U. $1,603.43
IE-019 | Letrero de salida iluminado | pza | 6.1913 por nivel | P.U. $1,478.62
IE-020 | Sistema de tierras físicas con electrodos y registro | lote | 1.0000 por hotel | P.U. $109,124.93
IE-021 | Pararrayos tipo ionizante con bajada y electrodo | pza | 1.0000 por hotel | P.U. $84,309.12
IE-022 | Charola portacables tipo escalerilla de 30 cm | m | 60.9999 por nivel | P.U. $552.05
IE-023 | Interruptor termomagnético derivado | pza | 3.5641 por llave | P.U. $348.59
IE-024 | Apagador sencillo y de escalera | pza | 4.1548 por llave | P.U. $179.53
IE-025 | Luminario de fachada tipo bañador LED | pza | 24.0000 por hotel | P.U. $3,479.04
IE-026 | Alumbrado exterior de estacionamiento con poste de 6 m | pza | 0.1261 por llave | P.U. $13,948.96
IE-027 | Sistema de control de iluminación de áreas públicas | lote | 1.0000 por hotel | P.U. $131,639.34
IE-028 | Tarjetero ahorrador de energía en habitación | pza | 1.0427 por llave | P.U. $1,732.70
IE-029 | Medición y banco de capacitores | lote | 1.0000 por hotel | P.U. $96,099.81
IE-030 | Canalización para voz y datos | m | 0.5329 por m² construido | P.U. $76.71
IE-031 | Registro eléctrico prefabricado de concreto | pza | 0.0034 por m² construido | P.U. $2,053.64
IE-032 | Interruptor de transferencia automática de 800 A | pza | 1.0000 por hotel | P.U. $269,423.50
IE-033 | Supresor de picos en tablero general | pza | 1.0000 por hotel | P.U. $33,587.16

CATÁLOGO DE CONCEPTOS · HIDROSANITARIO Y GAS
City Express Cancún Aeropuerto · Precios a 2018-05 (MXN sin IVA)

IH-001 | Toma domiciliaria de agua potable de 2" | pza | 1.0000 por hotel | P.U. $31,380.72
IH-002 | Cuadro de medición de agua potable | lote | 1.0000 por hotel | P.U. $23,631.48
IH-003 | Equipo hidroneumático triplex de velocidad variable | pza | 1.0000 por hotel | P.U. $242,867.98
IH-004 | Tubería de cobre tipo M de 1/2" | m | 14.5110 por llave | P.U. $142.50
IH-005 | Tubería de cobre tipo M de 3/4" | m | 5.1373 por llave | P.U. $209.98
IH-006 | Tubería de cobre tipo L de 2" en columnas | m | 29.5963 por nivel | P.U. $620.18
IH-007 | Tubería de CPVC para agua caliente de 3/4" | m | 6.2314 por llave | P.U. $115.69
IH-008 | Calentador de agua de paso a gas de alta eficiencia | pza | 4.0000 por hotel | P.U. $56,106.13
IH-009 | Tanque de almacenamiento de agua caliente de 1,000 L | pza | 2.0000 por hotel | P.U. $54,982.80
IH-010 | Bomba de recirculación de agua caliente | pza | 2.0000 por hotel | P.U. $19,543.08
IH-011 | Tubería de PVC sanitario de 4" | m | 5.8586 por llave | P.U. $124.21
IH-012 | Tubería de PVC sanitario de 2" | m | 8.3210 por llave | P.U. $68.79
IH-013 | Bajante pluvial de PVC de 4" | m | 22.4017 por nivel | P.U. $138.74
IH-014 | Coladera de azotea de fierro fundido | pza | 0.0044 por m² construido | P.U. $1,344.34
IH-015 | Inodoro de bajo consumo de 4.8 L | pza | 1.0541 por llave | P.U. $3,654.21
IH-016 | Lavabo de sobreponer con llave monomando | pza | 1.0236 por llave | P.U. $3,163.74
IH-017 | Regadera con mezcladora termostática | pza | 0.9614 por llave | P.U. $4,509.32
IH-018 | Muebles sanitarios de áreas públicas | lote | 1.0000 por hotel | P.U. $124,127.00
IH-019 | Trampa de grasas de concreto armado | pza | 1.0000 por hotel | P.U. $48,999.91
IH-021 | Válvula de seccionamiento de bronce de 1" | pza | 11.4949 por nivel | P.U. $698.35
IH-022 | Válvula reductora de presión por nivel | pza | 1.0315 por nivel | P.U. $5,908.64
IH-023 | Aislamiento térmico en tubería de agua caliente | m | 3.9545 por llave | P.U. $76.40
IH-024 | Tubería de cobre para gas L.P. de 3/4" | m | 18.1555 por nivel | P.U. $266.84
IH-025 | Tanque estacionario de gas L.P. de 5,000 L | pza | 1.0000 por hotel | P.U. $154,903.18
IH-026 | Regulador de gas de alta presión | pza | 2.0000 por hotel | P.U. $5,633.13
IH-027 | Pozo de absorción pluvial | pza | 3.0000 por hotel | P.U. $29,011.30
