CATÁLOGO DE CONCEPTOS · OBRA CIVIL
City Express Ensenada · Precios a 2020-04 (MXN sin IVA)

OC-001 | Trazo y nivelación del terreno con equipo topográfico | m2 | 0.5515 por m² construido | P.U. $16.59
OC-002 | Excavación a máquina en cepas, material tipo II | m3 | 0.3879 por m² construido | P.U. $134.09
OC-003 | Relleno compactado al 95% Proctor con material de banco | m3 | 0.1999 por m² construido | P.U. $406.00
OC-004 | Plantilla de concreto f'c=100 kg/cm² de 5 cm | m2 | 0.1918 por m² construido | P.U. $169.14
OC-005 | Concreto premezclado f'c=250 kg/cm² en cimentación | m3 | 0.0726 por m² construido | P.U. $2,706.81
OC-006 | Acero de refuerzo fy=4200 kg/cm² en cimentación | ton | 0.0085 por m² construido | P.U. $27,051.67
OC-007 | Cimbra común en cimentación | m2 | 0.1924 por m² construido | P.U. $274.92
OC-008 | Concreto premezclado f'c=300 kg/cm² en columnas | m3 | 0.0337 por m² construido | P.U. $2,945.16
OC-009 | Concreto premezclado f'c=300 kg/cm² en trabes y losas | m3 | 0.1617 por m² construido | P.U. $3,022.78
OC-010 | Acero de refuerzo fy=4200 kg/cm² en estructura | ton | 0.0232 por m² construido | P.U. $27,417.76
OC-011 | Cimbra aparente en columnas | m2 | 0.2695 por m² construido | P.U. $398.20
OC-012 | Cimbra en losas y trabes | m2 | 1.0945 por m² construido | P.U. $310.91
OC-013 | Losa aligerada con casetón de poliestireno de 25 cm | m2 | 0.7923 por m² construido | P.U. $524.71
OC-014 | Muro de block hueco de concreto de 15 cm | m2 | 1.1642 por m² construido | P.U. $357.30
OC-015 | Muro divisorio de tablaroca con aislamiento acústico | m2 | 0.9974 por m² construido | P.U. $472.62
OC-016 | Castillos y dalas de concreto armado | m | 0.9408 por m² construido | P.U. $216.62
OC-017 | Aplanado de mortero cemento-arena en muros | m2 | 1.5461 por m² construido | P.U. $164.55
OC-018 | Firme de concreto f'c=150 kg/cm² de 10 cm | m2 | 0.2296 por m² construido | P.U. $268.38
OC-019 | Impermeabilización de azotea con sistema prefabricado APP | m2 | 0.2075 por m² construido | P.U. $375.13
OC-020 | Relleno y entortado de azotea con pendiente | m2 | 0.2175 por m² construido | P.U. $228.55
OC-021 | Pretil de concreto armado en azotea | m | 0.9885 por llave | P.U. $715.60
OC-022 | Escalera de concreto armado, tramo entre niveles | pza | 1.9169 por nivel | P.U. $32,182.21
OC-023 | Fosa de elevador de concreto armado | pza | 2.0000 por hotel | P.U. $54,800.20
OC-024 | Cisterna de concreto armado impermeabilizada | m3 | 0.4266 por llave | P.U. $4,636.29
OC-025 | Registro sanitario de tabique de 60×40 cm | pza | 0.0041 por m² construido | P.U. $3,538.36
OC-026 | Banqueta perimetral de concreto estampado | m2 | 0.0605 por m² construido | P.U. $400.20
